pubmed_id,title,abstract
29126301,Coagulation Testing in the Core Laboratory.,"Primary hemostasis begins with endothelial injury. VWF, produced by endothelial cells, binds to platelets and links them to subendothelial collagen. Platelet-derived ADP and thromboxane activate non-adhered platelets via their GPIIb/IIIa receptors, allowing these platelets to participate in platelet aggregation. Secondary hemostasis is initiated with the binding of factor VII to extravascular tissue factor (TF). Factors II, VII, IX and X are vitamin K-dependent factors. The role of vitamin K is to assist in the addition of gamma carboxylate groups to glutamic acids in the ""GLA"" domains of these factors.In vitro the intrinsic pathway is initiated when fresh whole blood is placed in a glass tube. The negative charge of the glass initiates the ""contact pathway"" where FXII is activated and then FXIa cleaves FIX to FIXa. The extrinsic pathway is triggered when tissue factor, phospholipid and calcium are added to plasma anticoagulated with citrate. In vitro, FVII is activated to FVIIa, and TF-FVIIa preferentially converts FX to FXa activating the common pathway.The prothrombin time is commonly used to monitor warfarin anticoagulant therapy. To correct for differences in reagent and instrument, the international normalized ratio was developed to improve standardization of PT reporting globally. The activated partial thromboplastin time (aPTT) is used to evaluate the intrinsic and common pathways of coagulation. The aPTT is useful clinically as a screening test for inherited and acquired factor deficiencies as well as to monitor unfractionated heparin therapy although the anti-Xa assay is now the preferred measure of the effects of unfractionated heparin. The Clauss assay is the most commonly performed fibrinogen assay and uses diluted plasma where clotting is initiated with a high concentration of reagent thrombin.The mixing study assists in the assessment of an abnormally prolonged PT or aPTT. An equal volume of citrated patient plasma is mixed with normal pooled plasma and the PT or aPTT are repeated on the 1:1 mix. Factor activity assays are most commonly performed as a one-stage assay. The patient's citrated plasma is diluted and mixed 1-to-1 with a single factor-deficient substrate plasma. A PT or aPTT is performed on the above mix, depending on the factor being tested.Factor inhibitors are antibodies that are most commonly diagnosed in male patients with severe hemophilia A (FVIII deficiency) where they are induced by factor replacement therapy.Factor inhibitors can also appear in the form of spontaneous autoantibodies in both male and female individuals who were previously well. This is an autoimmune condition called ""acquired hemophilia.""Most coagulation laboratories can measure the plasma concentration of VWF protein (VWF antigen) by an immunoturbidimetric technique. Testing the functional activity of VWF, utilizes the drug ristocetin.The state of multimerization of VWF is important and is assessed by electrophoresis on agarose gels. Type 2a and 2b VWD are associated with the lack of intermediate- and high molecular weight multimers.The antiphospholipid syndrome (APLS) is an acquired autoimmune phenomenon associated with an increased incidence of both venous and arterial thromboses, as well as fetal loss. Typically, there is a paradoxical prolongation of the aPTT in the absence of any clinical features of bleeding. This is the so-called ""lupus anticoagulant (LA) effect."" The laboratory definition of the APLS requires the presence of either a ""lupus anticoagulant"" or a persistent titer of antiphospholipid antibodies.There are now 2 broad classes of direct-acting oral anticoagulants (DOACs): [1] The oral direct thrombin inhibitors (DTIs) such as dabigatran; and [2] The oral direct factor Xa inhibitors such as rivaroxaban and apixaban. The PT and aPTT are variably affected by the DOACs and are generally unhelpful in monitoring their concentrations. Most importantly, a normal PT or aPTT does NOT exclude the presence of any of the DOACs."
28341450,Oral Surgery in Patients With Glanzmann Thrombasthenia: A Case Series.,"Glanzmann thrombasthenia is a severe defect of platelet function caused by an inherited deficiency or dysfunction of the glycoprotein IIb/IIIa complex, the platelet fibrinogen receptor. Patients with Glanzmann thrombasthenia experience lifelong spontaneous and post-traumatic mucocutaneous bleeding diathesis. Surgery is usually very challenging, requiring close cooperation among surgeons, hematologists, and anesthesiologists. For anatomic reasons, oral surgery is particularly difficult owing to the inherent risk of hemorrhage and the difficulty in achieving local hemostasis. In the present report, we describe 3 successful cases of oral surgery in patients with Glanzmann thrombasthenia and report the surgical and hematologic management of each case."
27919470,Spontaneous sublingual haematoma in acquired haemophilia: case report.,"Acquired haemophilia is a rare disease in which bleeding is more severe than in hereditary haemophilia and usually occurs in the soft tissues, the gastrointestinal tract, or the mucous membranes. There have been only a few presentations of spontaneous sublingual haematoma in acquired haemophilia, but prompt management of the airway and identification of the underlying cause was crucial in all."
27813214,Complications of haemophilia in babies (first two years of life): a report from the Centers for Disease Control and Prevention Universal Data Collection System.,"To describe the prevalence and complications in babies ≤2 years with haemophilia.
We used a standardized collection tool to obtain consented data on eligible babies aged ≤2 years with haemophilia enrolled in the Centers for Disease Control and Prevention Universal Data Collection System surveillance project at US Hemophilia Treatment Centers (HTCs).
Of 547 babies, 82% had haemophilia A, and 70% were diagnosed within one month of birth. Diagnosis was prompted by known maternal carrier status (40%), positive family history (23%), bleeding (35%) and unknown 2%; 81% bled during the first two years. The most common events were bleeding (circumcision, soft tissue, oral bleeding) and head injury. There were 46 episodes of intracranial haemorrhage (ICH) in 37 babies (7%): 18 spontaneous, 14 delivery related, 11 traumatic, 2 procedure related and 1 unknown cause. Of the 176 central venous access devices (CVADs) in 148 (27%) babies, there were 137 ports, 22 surgically inserted central catheters and 20 peripherally inserted central catheters. Ports had the lowest complication rates. Inhibitors occurred in 109 (20%) babies who experienced higher rates of ICH (14% vs. 5%; P = 0.002), CVAD placement (61% vs. 19%; P < 0.001) and CVAD complications (44% vs. 26%; P < 0.001). The most common replacement therapy was recombinant clotting factor concentrates.
Bleeding events in haemophilic babies ≤2 years were common; no detectable difference in the rates of ICH by the mode of delivery was noted. Neonatal factor exposure did not affect the inhibitor rates. Minor head trauma, soft tissue and oropharyngeal bleeding were the leading indications for treatment."
26440491,A Case of Acute Upper Airway Obstruction in a Pediatric Hemophilia A Patient Because of Spontaneous Retropharyngeal Hemorrhage.,"We report a rare case of acute upper airway obstruction caused by spontaneous retropharyngeal hemorrhage as a result of hemophilia A in a 16-year-old pediatric patient who routinely received factor VIII replacement. Initial diagnosis was delayed because the patient presented with symptoms, such as throat pain and odynophagia, similar to those of common benign upper airway infections. Within 2 days of the initial presentation of symptoms, the patient went into respiratory failure as a result of retropharyngeal hemorrhage. The possibility of spontaneous retropharyngeal or epiglottic hemorrhage or hematoma should be considered as a cause of rapidly progressing odynophagia and dyspnea by hemophilia patients."
25547669,Acquired haemophilia A associated with autoimmune thyroiditis: a case report.,"Acquired haemophilia A is a rare life- and limb-threatening bleeding disorder if left untreated. Autoimmune thyroiditis is an autoimmune disorder that can be rarely associated with acquired haemophilia. Here we report a case of a 60-year-old woman presenting with cutaneous and muscle haematomas secondary to acquired haemophilia A in association with autoimmune thyroiditis, who was successfully treated with recombinant activated factor VII and immunosuppression.
A 60-year-old Sri Lankan woman with a background of longstanding hypothyroidism, diabetes mellitus, hypertension, hyperlipidaemia and bronchial asthma developed spontaneous cutaneous purpura and a limb-threatening intramuscular haematoma. Initial coagulation screening revealed prolonged activated partial thromboplastin time of 66.4 seconds (normal range 26 to -36 seconds) and time-dependent inhibitors against factor VIII. She had positive antinuclear antibody and antithyroid peroxidase (microsomal) antibody titre of over 1/80 and 1000IU/mL respectively. The diagnosis was therefore made of acquired haemophilia A in association with autoimmune thyroiditis. Acute limb-threatening bleeding was managed with recombinant activated factor VII (NovoSeven®). Immunosuppressive treatment consisting of oral prednisone 60mg/day and cyclophosphamide 100mg/day was administered in order to remove the factor VIII inhibitor. This treatment led to normalisation of her haemostatic parameters. This case illustrates a very rare association of acquired haemophilia and autoimmune thyroiditis as well as the importance of considering acquired haemophilia as a differential diagnosis of spontaneous bleeding.
Acquired haemophilia should be considered in the differential diagnosis of unexplained bleeding in adults. Treatment of the acute coagulopathy with recombinant activated factor VII and immunosuppressive therapy was successful in this case."
22726101,Treatment of inherited platelet disorders.,"For patients affected by severe inherited platelet dysfunctions, e.g. Glanzmann thrombasthenia (GT) or Bernard-Soulier syndrome (BSS), platelet transfusion is frequently needed for controlling spontaneous bleeding, and is always needed when trauma occurs or surgery is performed. For the mild-to-moderate bleeding entities, e.g. storage pool disease, thrombaxane A2 receptor defect, platelet transfusion is usually unnecessary. Transfusion of platelets should be used selectively and sparingly because of the substantial risk of alloimmunization against HLA antigens and/or platelet glycoproteins (GP) αIIb, β(3), or αIIbβ(3) in GT, and GPI-IX-V in BSS, which may lead to refractoriness to therapy. To reduce the risk, HLA-matched single donors of platelets should be used. If such donors are unavailable, leucocyte-depleted blood components should be used. Therapy other than platelet transfusion includes: (i) Prevention (vaccination against hepatitis B, avoidance of non-steroidal anti-inflammatory drugs, preservation of dental hygiene, correction of iron deficiency and prenatal diagnosis). (ii) Topical measures (compression with gauze soaked with tranexamic acid, fibrin sealants, splints for dental extractions and packing for nose bleeds). (iii) Antifibrinolytic agents that are useful for minor surgery and as adjuncts for other treatment modalities. (iv) Desmopressin that increases plasma levels of von Willebrand factor and factor VIII giving rise to increased platelet adhesiveness and aggregation associated with shortened bleeding time. (v) Recombinant factor VIIa (rFVIIa). GT patients have been treated for bleeding episodes by rFVIIa with partial success. The mechanism by which rFVIIa arrests bleeding is probably related to increased thrombin generation by a tissue factor-independent process, enhanced platelet adhesion and restoration of platelet aggregation. (vi) Female hormones. Excessive bleeding during menarche in patients with GT or BSS can be controlled by high doses of oestrogen followed by high doses of oral oestrogen-progestin. Menorrhagia later in life can be managed by continuous oral contraceptives. Depo-medroxyprogesterone acetate administered every 3 months is an alternative when combined oral contraceptives are contraindicated."
22048588,Orofacial manifestations of hematological disorders: anemia and hemostatic disorders.,"The aim of this paper is to review the literature and identify orofacial manifestations of hematological diseases, with particular reference to anemias and disorders of hemostasis. A computerized literature search using MEDLINE was conducted for published articles on orofacial manifestations of hematological diseases, with emphasis on anemia. Mesh phrases used in the search were: oral diseases AND anaemia; orofacial diseases AND anaemia; orofacial lesions AND anaemia; orofacial manifestations AND disorders of haemostasis. The Boolean operator ""AND"" was used to combine and narrow the searches. Anemic disorders associated with orofacial signs and symptoms include iron deficiency anemia, Plummer-Vinson syndrome, megaloblastic anemia, sickle cell anemia, thalassaemia and aplastic anemia. The manifestations include conjunctiva and facial pallor, atrophic glossitis, angular stomatitis, dysphagia, magenta tongue, midfacial overgrowth, osteoclerosis, osteomyelitis and paraesthesia/anesthesia of the mental nerve. Orofacial petechiae, conjunctivae hemorrhage, nose-bleeding, spontaneous and post-traumatic gingival hemorrhage and prolonged post-extraction bleeding are common orofacial manifestations of inherited hemostatic disorders such as von Willebrand's disease and hemophilia. A wide array of anemic and hemostatic disorders encountered in internal medicine has manifestations in the oral cavity and the facial region. Most of these manifestations are non-specific, but should alert the hematologist and the dental surgeon to the possibilities of a concurrent disease of hemopoiesis or hemostasis or a latent one that may subsequently manifest itself."
21412135,Acquired factor VIII inhibitor as initial manifestation of collagen vascular disease: response to combination immunosuppression as first-line therapy.,"Acquired hemophilia A is a rare disorder caused by the development of inhibitors to coagulation factor VIII. The case of a 74-year-old man who presented with spontaneous ecchymoses and was found to have acquired hemophilia A is reported. Bleeding was acutely controlled using recombinant activated factor VII. Combined modality immunosuppression was promptly initiated using intravenous methylprednisolone (later converted to oral prednisone), cyclophosphamide and rituximab. By day 17, inhibitor titer had decreased from 8.5 Bethesda units/mL to 1.3 units/mL and was subsequently undetectable; by day 26, factor VIII activity had increased from less than 1% to 42% and was greater than 100% by day 43. All treatment had concluded by day 40. Reported cases of the use of rituximab for acquired hemophilia in the elderly were reviewed. The use of rituximab as part of a combined immunosuppression regimen is an effective first-line approach to acquired hemophilia."
21264446,Bleeding tendency and efficacy of anti-haemorrhagic treatments in patients with type 1 von Willebrand disease and increased von Willebrand factor clearance.,"Accelerated clearance of von Willebrand factor (VWF) has been recently identified as a major pathophysiologic mechanism inducing low VWF in some patients with von Willebrand disease (VWD). The frequency of bleeding and the best treatment of these patients have never been evaluated prospectively in large series of patients. It was the aim of the present study to prospectively evaluate clinical events of 60 heterozygous patients with VWD Vicenza (VWD-VI) carrying R1205H VWF mutation and 23 with C1130F mutation, both characterised by markedly increased VWF clearance. During 71 months of follow-up, 65% of patients with VWD-VI and 61% with C1130F required treatment. The rate of spontaneous bleeding requiring consultation/treatment was 7.5/100 patients-year in patients with C1130F mutation vs. 1.9/100 patients-year in those with R1205H (p=0.004). This difference persisted also by multivariate analysis adjusted for sex, age and blood group (hazard ratio [HR]=3.3 for C1130F, 95% confidence interval [CI] 1.16-9.27) and females were at greater risk of bleeding (HR=3, 95%CI 1.01-9.93) because of menorrhagia. Only 3/15 (20 %) women in fertile age with VWD-VI compared to 8/9 (89 %) with C1130F mutation required consultation/treatment for menorrhagia (iron supplementation, combined oral contraceptives, tranexamic acid). Almost all dental extractions, minor surgeries and deliveries occurring during follow-up were successfully managed with desmopressin. Major surgery required factor VIII/VWF concentrates, but a few cases benefited from desmopressin. In conclusion, similar to patients with type 1 VWD, also in patients with increased VWF clearance desmopressin maintains a major therapeutic role."
21042682,[Rituximab in the treatment of acquired haemophilia A in a patient with polymyalgia rheumatica].,"Acquired hemophilia A is a rare but potentially life-threatening bleeding disorder. It is caused by the development of autoantibodies directed against coagulation factor VIII in adults or elderly patients, who do not have a personal or family history of bleeding.
A man (age: 76 years) on prednisone and leflunomide for polymyalgia rheumatica developed spontaneous severe haematomas. The patient was diagnosed with acquired factor VIII deficiency (FVIII activity 1.2%, FVIII inhibitor 31.7 BU). Due to the active bleeding diathesis, treatment was administered with activated prothrombin complex concentrates (FEIBA&reg;, Baxter). Immunosuppressive treatment with a combination of oral prednisone (1 mg/kg daily) and cyclophosphamide (1,5 mg/kg daily) was administered to reduce the FVIII inhibitor. However, after two weeks of treatment, FVIII was only 3% and no clinical improvement was observed. Treatment with the anti CD20 monoclonal antibody rituximab intravenously at 375 mg/m2 once weekly for four consecutive weeks was started. The patient showed rapid clinical improvement following rituximab treatment. He achieved a complete remission defined as return to normal FVIII activity and undetectable FVIII inhibitor titer. After a follow-up of six months no relapse occurred.
Rituximab appears an effective and well-tolerated treatment for patients with acquired haemophilia."
20583237,Airway obstruction and hemophilia-A: epiglottis hematoma.,Acute upper airway obstruction is a potentially life-threatening event. Hemophilia-A is a coagulopathy with high risk for spontaneous bleeding. Here we describe for the first time a spontaneous epiglottic internal hemorrhage leading to upper airway narrowing in a hemophilia-A patient. The patient was admitted to the intensive care unit for airway observation and treatment with factor VIII supplementation. In the first 48 hours there was rapid respiratory improvement. The epiglottic swelling resolved on the 5th day. In this patient no oral intubation or surgical management was needed.
20163836,Future directions in hemostasis: normalizing the lives of patients with hemophilia.,"The ultimate goal of hemophilia research is to cure the disease by permanently replacing the abnormal or deficient clotting factor. The most promising current approach is to insert a functional gene into the patient that will lead to the production of either the native protein or a compatible non-immunogenic equivalent version. This protein will circulate at adequate levels to prevent spontaneous bleeds and to treat traumatic hemorrhage. While there continues to be progress in this area, there remain significant hurdles to allow the process to be done at minimal risk to the patient. In the short term the goals are: 1) to prevent spontaneous bleeding whenever possible through the provision of effective prophylactic therapy, and 2) to rapidly establish hemostasis when bleeding occurs via effective, safe and widely available treatment modalities. In addition, all therapy should be convenient and simple to use so as to allow the vast majority of hemophilia patients to routinely treat themselves. Optimally, such treatment should not require highly trained medical personnel or vascular access. Prophylactic therapy will be facilitated via the development and introduction of clotting factors with prolonged circulating times. Long acting versions of rFVIIa, rFVIII and rFIX are either already in or are about to enter clinical trials. Rapid treatment of bleeding could be facilitated by bio-engineered molecules with increased activity and/or altered binding characteristics. At least one such agent is in phase II clinical trials. Ease of administration may be accomplished by the introduction of room temperature stable products and the development of subcutaneous and even orally administered therapeutics. It is conceivable that a broad spectrum hemostatic agent capable of normalizing thrombin generation in a variety of deficiencies could be developed. If this is accomplished, the steps to a room temperature stable agent, contained within a pre-filled pen, capable of self-delivery by subcutaneous injection are already within the realm of current developmental capabilities."
19251406,Pulmonary hemorrhage: A novel mode of therapy.,"Major hemoptysis a potentially life-threatening condition in pulmonology and can originate from both identifiable and unidentifiable sites. Identifiable bleeding sites can be controlled locally by iced saline, vasopressors, laser, electrocautery and balloon tamponade. Bleeding from an unidentifiable source, on the other hand, is much more difficult to control as the bleeding site is not accessible by the bronchoscope. Tranexamic acid (TA), a synthetic anti-fibrinolytic agent, is approved for treatment or prophylaxis of bleeding episodes in hemophilia or following major operative procedures via intravenous or oral routes. Its efficacy in controlling bleeding from mucosal tissue led us to apply it to patients with pulmonary bleeding. Six patients with significant hemoptysis, two who bled during bronchoscopy biopsy and four with spontaneous bleeding (lung cancer, diffuse alveolar hemorrhage, idiopathic pulmonary bleeding, metastatic thyroid carcinoma) were treated with TA. For the two who bled during bronchoscopy, we used a bolus of 500mg/5mL through the bronchoscope working channel, while the latter four received aerosolized TA 500mg/5ml 3-4 times a day. In all cases, the bleeding stopped with the first dose of TA, and the treatment was well tolerated without adverse events. While limited due to the small number of patients, these data show that TA administered either as a bolus through the bronchoscope or via inhalation seems to be effective in controlling severe hemoptysis from both identifiable and unidentifiable bleeding sites. Further clinical studies are needed to evaluate the use of the TA in this set-up."
19144654,Effective hemostasis during minor surgery in a case of hereditary combined deficiency of vitamin K-dependent clotting factors.,"Combined deficiency of the vitamin K-dependent clotting factors (VKCFD) is a rare bleeding disorder involving defective gamma-carboxylation of coagulation factors II , VII, IX and X as well as natural anticoagulants protein C and protein S. The disease is characterized by a cluster of different, often life threatening, bleeding symptoms occurring both spontaneously and in a surgical setting. In the present paper we describe two different treatment modalities to be used both in a programmed surgical procedure and in an emergency scenario. As this disease is a natural model that resembles oral anticoagulation, our experience discloses a possible rationale in the use of recombinant activated FVII for warfarin reversal."
